algorithm,getdata,sql,prep,splitsort1,algo1,combine,amm,qsl,splitsort2,algo2,json,total
threshold,0.00040912628173828125,64.30770301818848,8.087564945220947,0.11882781982421875,0.026592016220092773,5.9604644775390625e-06,0.00014901161193847656,1.71661376953125e-05,0.0013659000396728516,0.0030989646911621094,0.0002849102020263672,72.54601883888245
naive,0.0002779960632324219,60.818607807159424,8.0744309425354,0.11416196823120117,4.36233377456665,5.0067901611328125e-06,0.000186920166015625,1.71661376953125e-05,0.0010919570922851562,0.0007369518280029297,0.00018095970153808594,73.3720314502716
fagins,0.00014901161193847656,31.22471284866333,7.795146942138672,0.10868310928344727,0.047003984451293945,4.0531158447265625e-06,0.00022602081298828125,1.811981201171875e-05,0.0016257762908935547,0.0021178722381591797,0.00024580955505371094,39.17993354797363
fagins,0.00037288665771484375,31.650644063949585,7.916997909545898,0.0932459831237793,0.02458477020263672,3.0994415283203125e-06,0.0001361370086669922,2.193450927734375e-05,0.0009179115295410156,0.0017757415771484375,0.0001900196075439453,39.68889045715332
fagins,0.0005660057067871094,27.20841383934021,7.764689922332764,0.09357213973999023,0.0783390998840332,2.86102294921875e-06,0.00029015541076660156,2.4080276489257812e-05,0.018588781356811523,0.01012420654296875,0.001232147216796875,35.175843238830566
fagins,0.0003719329833984375,27.46367883682251,7.779856204986572,0.0960688591003418,0.02507781982421875,3.0994415283203125e-06,0.00014019012451171875,1.9788742065429688e-05,0.0008790493011474609,0.0016510486602783203,0.0001888275146484375,35.36793565750122
threshold,0.00017189979553222656,29.196583032608032,7.825413942337036,0.09760212898254395,0.027055978775024414,5.0067901611328125e-06,0.00017380714416503906,1.71661376953125e-05,0.001705169677734375,0.0031621456146240234,0.00032019615173339844,37.15221047401428
threshold,0.0005450248718261719,26.94837212562561,8.03075098991394,0.09938311576843262,0.025105953216552734,6.9141387939453125e-06,0.0001399517059326172,1.5974044799804688e-05,0.002360820770263672,0.0034377574920654297,0.00019598007202148438,35.11031460762024
naive,0.0003619194030761719,30.457556009292603,9.22204303741455,0.13155627250671387,4.910745143890381,9.059906005859375e-06,0.0003230571746826172,3.1948089599609375e-05,0.0029528141021728516,0.0009131431579589844,0.00021696090698242188,44.72670936584473
naive,0.0016400814056396484,31.45673108100891,7.921350955963135,0.12802481651306152,4.811800241470337,8.821487426757812e-06,0.0002079010009765625,1.9311904907226562e-05,0.0020999908447265625,0.0008618831634521484,0.0002009868621826172,44.322946071624756
naive,0.0010437965393066406,27.81090521812439,9.64649486541748,0.12523293495178223,4.84640097618103,1.5020370483398438e-05,0.000244140625,0.0002770423889160156,0.0018649101257324219,0.0009112358093261719,0.00021576881408691406,42.433605909347534
naive,0.0006809234619140625,20.907727003097534,8.147823095321655,0.10910296440124512,4.791520833969116,1.1205673217773438e-05,0.0002300739288330078,1.7881393432617188e-05,0.0015261173248291016,0.0009701251983642578,0.00020384788513183594,33.95981407165527
naive,0.0003688335418701172,19.860388040542603,8.341343879699707,0.11623620986938477,4.66418719291687,7.152557373046875e-06,0.00027823448181152344,1.7881393432617188e-05,0.0020940303802490234,0.0012249946594238281,0.0002849102020263672,32.98643136024475
naive,0.0003478527069091797,19.880654096603394,7.947689056396484,0.12233400344848633,4.495763063430786,5.0067901611328125e-06,0.0002739429473876953,1.7881393432617188e-05,0.001695394515991211,0.0009169578552246094,0.00020599365234375,32.4499032497406
threshold,0.0002570152282714844,25.961099863052368,8.524727821350098,0.0866851806640625,0.02834463119506836,4.291534423828125e-06,0.000148773193359375,1.5974044799804688e-05,0.0009212493896484375,0.003137826919555664,0.00019025802612304688,34.60553288459778
threshold,0.0008008480072021484,32.56870102882385,8.218070030212402,0.1848771572113037,0.028053998947143555,5.0067901611328125e-06,0.00014710426330566406,1.6927719116210938e-05,0.0010390281677246094,0.003268003463745117,0.00021195411682128906,41.00519108772278
threshold,0.0006978511810302734,25.091031074523926,9.049365043640137,0.12135910987854004,0.029854774475097656,8.106231689453125e-06,0.000164031982421875,1.8835067749023438e-05,0.0010652542114257812,0.0056798458099365234,0.0013492107391357422,34.30059313774109
threshold,0.00019812583923339844,29.517364978790283,8.204948425292969,0.10327887535095215,0.02547597885131836,5.245208740234375e-06,0.00013971328735351562,1.621246337890625e-05,0.0008790493011474609,0.0031392574310302734,0.00019407272338867188,37.855639934539795
threshold,0.0005788803100585938,28.184828281402588,7.919143915176392,0.09722495079040527,0.025802135467529297,4.0531158447265625e-06,0.000141143798828125,1.4781951904296875e-05,0.0008730888366699219,0.0031969547271728516,0.00019025802612304688,36.231998443603516
