"cattle_id","timestamp","label","gx","gy","gz","ax","ay","az","id"
"DE0947746944","1536656763850","Gehen","223.19","-49.88","-169","-1.09","-2.41","-0.01",68
"DE0947746944","1536656763950","Gehen","240.25","-48.38","177.88","-0.84","-1.16","2.03",69
"DE0947746944","1536656764050","Gehen","247.69","-52.38","171.06","-1.62","0.28","0.79",70
"DE0947746944","1536656764150","Gehen","245.69","-59.5","172.56","-2.55","-0.65","-1.71",71
"DE0947746944","1536656764250","Gehen","243.44","-64.25","177.88","-1.58","-0.76","-0.82",72
"DE0947746944","1536656764350","Gehen","240.13","-66.88","-176.56","-0.42","-0.07","-0.6",73
"DE0947746944","1536656764450","Gehen","248.38","-69.44","169.13","0.06","0.4","-0.15",74
"DE0947746944","1536656764550","Gehen","256.56","-68.38","152.44","0.74","2.67","0.17",75
"DE0947746944","1536656764650","Gehen","257.5","-68.06","151","0.88","1.31","0.3",76
"DE0947746944","1536656764750","Gehen","253.88","-69.81","155.75","0.87","0.14","-0.06",77
"DE0947746944","1536656764850","Gehen","246.94","-72.13","166","0.63","-0.51","-0.22",78
"DE0947746944","1536656764950","Gehen","240.13","-72.63","176.13","0.71","0.34","-0.61",79
"DE0947746944","1536656765050","Gehen","240.44","-69.44","172.31","-0.11","0.67","-0.57",80
"DE0947746944","1536656765150","Gehen","241.31","-64.56","171.25","-0.11","-0.21","0.56",81
"DE0947746944","1536656765250","Gehen","242.44","-62.38","170.69","0.12","-0.91","0.15",82
"DE0947746944","1536656765350","Gehen","236.44","-60.56","179.5","-0.57","-1.62","1.07",83
"DE0947746944","1536656765450","Gehen","236.5","-60.38","-179.06","-0.38","-1.55","1.51",84
"DE0947746944","1536656765550","Gehen","242.44","-63.19","174.06","-1.46","-0.9","0.07",85
"DE0947746944","1536656765650","Gehen","248.88","-65.75","164.06","-0.96","0.68","0.11",86
"DE0947746944","1536656765750","Gehen","252.5","-69.25","154.13","-0.18","0.31","-0.55",87
"DE0947746944","1536656765850","Gehen","252.94","-73.06","143.94","-0.77","-0.08","-2.08",88
"DE0947746944","1536656765950","Gehen","251.25","-75.13","144.13","0.48","0.78","-0.77",89
"DE0947746944","1536656766058","Gehen","247.69","-77.13","153.25","0.93","0.85","-0.71",90
"DE0947746944","1536656766174","Gehen","247.19","-77.38","157.81","1.25","-0.01","-0.08",91
"DE0947746944","1536656766290","Gehen","250.81","-75.31","150.94","1.17","0.94","0.91",92
"DE0947746944","1536656766406","Gehen","249.25","-74.06","151.88","1.03","0.68","1.13",93
"DE0947746944","1536656766523","Gehen","244.63","-74.06","156.5","0.15","1.11","-0.39",94
"DE0947746944","1536656766639","Gehen","239.25","-74.94","164.75","-0.21","0.42","-0.77",95
"DE0947746944","1536656766755","Gehen","236.63","-75.44","170.19","0.22","-0.18","0.09",96
"DE0947746944","1536656766872","Gehen","236.44","-76.44","166.38","-1.12","-0.14","-1.37",97
"DE0947746944","1536656766988","Gehen","235.5","-75.88","164","-1.22","0.97","-0.56",98
"DE0947746944","1536656767104","Gehen","235.94","-74.88","163.75","-0.35","-0.14","0.19",99
"DE0947746944","1536656767220","Gehen","235.81","-76.5","168.13","0.99","-2.66","-0.45",100
